GeneID	1577_d7_CD46	1578_d7_CD46	1599_d7_CD46	1577_d7_ISG15	1578_d7_ISG15	1599_d7_ISG15	1577_d7_UBA7	1578_d7_UBA7	1599_d7_UBA7	1577_d7_STAT1	1578_d7_STAT1	1599_d7_STAT1
ENSG00000055070	4812	3900	9366	3424	4793	7064	2898	6314	7727	5280	5970	7451
ENSG00000187144	5	4	13	5	3	16	1	6	15	4	6	15
ENSG00000157191	2158	1766	3730	1586	2141	2929	1368	3152	2969	2166	2730	2820
ENSG00000226029	51	28	79	39	30	59	33	67	57	56	54	54
ENSG00000261135	37	26	79	17	26	46	21	62	40	39	42	35
ENSG00000224174	5	5	37	6	19	21	1	11	19	6	13	26
ENSG00000233421	0	0	2	2	1	1	0	0	2	0	0	0
ENSG00000219481	551	456	1218	369	677	1165	256	945	1069	454	761	908
ENSG00000271732	1	2	6	1	2	1	0	2	2	0	0	1
ENSG00000282143	4	1	5	2	3	4	2	4	9	2	5	2
ENSG00000279151	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000282740	3	5	6	2	2	6	3	7	7	1	6	1
ENSG00000058453	833	938	2267	629	1194	1717	533	1391	1701	957	1348	1436
ENSG00000223643	0	0	1	0	0	0	0	0	0	0	0	1
ENSG00000228549	0	2	8	3	0	10	0	1	9	1	2	2
